season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2010,17,Aston Villa,0.0,0.0,West Brom,2.0,1.0,0,Mark Halsey,0,0,0,0,7246,Aston Villa,West Brom,f16de569-11eb-5534-9e1e-5d3e39e3e1ee,0274fdd1-6e04-517f-9999-c8919a4c9620,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2010
2010,35,West Brom,0.0,0.0,Aston Villa,2.0,1.0,0,Phil Dowd,0,0,0,0,7429,West Brom,Aston Villa,10d00b5a-fe4d-5790-85f4-a217d42e5791,0274fdd1-6e04-517f-9999-c8919a4c9620,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2010
2011,9,Aston Villa,0.0,0.0,West Brom,1.0,2.0,0,Phil Dowd,0,0,0,0,7549,West Brom,Aston Villa,454f27b8-e8a7-5f75-ab55-b0e128707f61,97f30b2a-12c0-516b-8944-4af52abd6a2f,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2011
2011,36,West Brom,0.0,0.0,Aston Villa,0.0,0.0,0,Mark Clattenburg,0,0,0,0,7817,draw,draw,84716c90-5791-5cfd-a63f-93edea82cc49,97f30b2a-12c0-516b-8944-4af52abd6a2f,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2011
2012,6,Aston Villa,0.0,0.0,West Brom,1.0,1.0,0,Anthony Taylor,0,0,0,0,7903,draw,draw,76332793-dc0d-52ce-bfa6-20b5aea5aef9,6ba61d2b-5c1c-5fc1-b457-a98702a42b85,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2012
2012,23,West Brom,0.0,0.0,Aston Villa,2.0,2.0,0,Lee Probert,0,0,0,0,8070,draw,draw,30d6a44e-a00b-570b-a5b1-a6e2e0ace9b0,6ba61d2b-5c1c-5fc1-b457-a98702a42b85,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2012
2013,12,West Brom,0.0,0.0,Aston Villa,2.0,2.0,0,Michael Oliver,0,0,0,0,8345,draw,draw,b3c862bb-5998-5eb5-997d-1dc497d44861,b8c1cd9e-8e07-554c-a7dd-99d6d93e9e25,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2013
2013,23,Aston Villa,0.0,0.0,West Brom,4.0,3.0,0,Mark Clattenburg,0,0,0,0,8454,Aston Villa,West Brom,a81ae382-4bdf-500f-ae45-651f1fa602e2,b8c1cd9e-8e07-554c-a7dd-99d6d93e9e25,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2013
2014,16,West Brom,0.0,0.0,Aston Villa,1.0,0.0,0,Mike Dean,0,0,0,0,8756,West Brom,Aston Villa,027ef207-613b-5d4c-8b18-98fba3b84855,08a1f8c6-e6cb-5a61-87d6-439fc03c007e,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2014
2014,28,Aston Villa,0.0,0.0,West Brom,2.0,1.0,0,Jonathan Moss,0,0,0,0,8874,Aston Villa,West Brom,c7f2fbc8-fb07-548e-8a78-0ca4079a4490,08a1f8c6-e6cb-5a61-87d6-439fc03c007e,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2014
2015,6,Aston Villa,0.0,0.0,West Brom,0.0,1.0,0,Martin Atkinson,0,0,0,0,9039,West Brom,Aston Villa,90bf70f2-a7bd-5c63-968d-4f13060ba96c,d8ec8108-d84e-585b-80ee-e34c6ffd2a03,Aston Villa,West Brom,Aston Villa_West Brom,Aston Villa_West Brom_2015
2015,23,West Brom,0.0,0.0,Aston Villa,0.0,0.0,0,Robert Madley,0,0,0,0,9211,draw,draw,009d7a27-2604-5f6b-b3c5-381b70bb6d18,d8ec8108-d84e-585b-80ee-e34c6ffd2a03,West Brom,Aston Villa,Aston Villa_West Brom,Aston Villa_West Brom_2015
